dataset,combo_name,ext_features,trials,pruning_mode,objective,label_rate_ext,label_rate_no_ext,label_rate_gap,label_rate_ratio,chi2_label,chi2_label_p,mean_ks,max_ks,mean_cohens_d,pct_features_shifted,total_shift
BankLoanSta,CS+AI+MLD ext,"Credit Score,Annual Income,Months since last delinquent",10,optuna,-0.004173,0.78009,0.718189,0.061901,1.08619,204.6961,1.972848268983724e-46,0.041223,0.130225,0.099262,83.3,0.103124
BankLoanSta,CS+AI ext,"Credit Score,Annual Income",10,optuna,-0.006532,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,15.4,0.088517
BankLoanSta,MLD+HO ext,"Months since last delinquent,Home Ownership",10,optuna,-0.000922,0.773853,0.771672,0.002181,1.002827,0.257,0.6122074352895794,0.032348,0.075223,0.042802,61.5,0.03453
BankLoanSta,HO ext,Home Ownership,10,optuna,-0.00141,0.775049,0.764205,0.010844,1.01419,7.6658,0.005627838609989964,0.027036,0.06414,0.036021,64.3,0.03788
BankLoanSta,MLD+Purp ext,"Months since last delinquent,Purpose",10,optuna,-0.000279,0.774063,0.770009,0.004054,1.005265,0.908,0.34063374506608163,0.035126,0.074885,0.053865,69.2,0.03918
BankLoanSta,Purp ext,Purpose,10,optuna,-0.00043,0.775391,0.761987,0.013403,1.01759,11.7406,0.0006114971399773449,0.02854,0.064676,0.041644,71.4,0.041943
BankLoanSta,MLD ext,Months since last delinquent,10,optuna,-0.000306,0.777866,0.769858,0.008008,1.010402,9.0721,0.002595417193566488,0.060918,0.137315,0.087868,92.9,0.068925
BankLoanSta,CS+AI ext,"Credit Score,Annual Income",30,optuna,0.028379,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,15.4,0.088517
BankLoanSta,CS+AI ext,"Credit Score,Annual Income",30,no_pruning,0.053562,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,15.4,0.088517
BankLoanSta,CS+AI ext,"Credit Score,Annual Income",30,fixed_50,0.024701,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,15.4,0.088517
BankLoanSta,Annual ext,Annual Income,30,optuna,0.009207,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,14.3,0.088517
BankLoanSta,Credit ext,Credit Score,30,optuna,0.007728,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,14.3,0.088517
BankLoanSta,Annual ext,Annual Income,30,optuna,-0.006456,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,14.3,0.088517
BankLoanSta,Credit ext,Credit Score,30,optuna,-0.030886,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,14.3,0.088517
BankLoanSta,Annual+Credit ext,"Annual Income,Credit Score",30,optuna,-0.034466,0.787126,0.716561,0.070566,1.098478,439.8733,1.1534873820794598e-97,0.017951,0.14326,0.057473,15.4,0.088517
ClientRecordAug,Offer ext,Offer,10,optuna,-0.000341,0.686355,0.656951,0.029404,1.044758,6.6844,0.009725995268142763,0.019658,0.054232,0.036066,19.0,0.049062
ClientRecordAug,Offer ext,Offer,30,optuna,-0.000361,0.686355,0.656951,0.029404,1.044758,6.6844,0.009725995268142763,0.019658,0.054232,0.036066,19.0,0.049062
ClientRecordAug,Offer ext,Offer,30,no_pruning,-0.000534,0.686355,0.656951,0.029404,1.044758,6.6844,0.009725995268142763,0.019658,0.054232,0.036066,19.0,0.049062
ClientRecordAug,Offer ext,Offer,30,fixed_50,0.000621,0.686355,0.656951,0.029404,1.044758,6.6844,0.009725995268142763,0.019658,0.054232,0.036066,19.0,0.049062
ClientRecordV2,Tenure+Offer ext,"Tenure in Months,Offer",30,optuna,0.001391,0.676707,0.647284,0.029422,1.045455,4.635,0.03132613584928351,0.017109,0.049401,0.027114,5.3,0.046531
ClientRecordV2,Tenure ext,Tenure in Months,30,optuna,-0.002748,0.673213,0.665602,0.007612,1.011436,0.4093,0.5223346460841207,0.014897,0.033822,0.022267,0.0,0.022509
ClientRecordV2,Offer+Contract ext,"Offer,Contract",30,optuna,-0.001377,0.670909,0.667531,0.003378,1.005061,0.0479,0.8268122436816829,0.01947,0.051109,0.029364,5.3,0.022848
ClientRecordV2,Offer+MonthlyCharge ext,"Offer,Monthly Charge",30,optuna,-0.004647,0.674823,0.653342,0.021481,1.032879,2.3992,0.12139959339235964,0.017531,0.067894,0.027324,5.3,0.039013
ClientRecordV2,Offer ext,Offer,30,optuna,0.000291,0.686355,0.656951,0.029404,1.044758,6.6844,0.009725995268142763,0.021374,0.07241,0.037163,15.0,0.050778
ClientRecordV2,Contract ext,Contract,30,optuna,0.000345,0.668481,0.672701,0.004221,0.993726,0.1178,0.7314401821668526,0.013774,0.027266,0.020261,0.0,0.017995
ClientRecordV2,MonthlyCharge ext,Monthly Charge,30,optuna,0.00157,0.670611,0.669507,0.001104,1.001649,0.005,0.943662000619727,0.013281,0.044788,0.019165,5.0,0.014385
ClientRecordV2,Offer+MonthlyCharge ext,"Offer,Monthly Charge",30,optuna,-0.004647,0.674823,0.653342,0.021481,1.032879,2.3992,0.12139959339235964,0.017531,0.067894,0.027324,5.3,0.039013
ClientRecordV2,Offer+MonthlyCharge ext,"Offer,Monthly Charge",30,no_pruning,-0.003799,0.674823,0.653342,0.021481,1.032879,2.3992,0.12139959339235964,0.017531,0.067894,0.027324,5.3,0.039013
ClientRecordV2,Offer+MonthlyCharge ext,"Offer,Monthly Charge",30,fixed_50,-0.003429,0.674823,0.653342,0.021481,1.032879,2.3992,0.12139959339235964,0.017531,0.067894,0.027324,5.3,0.039013
DiabetesRecord,weight+payer_code+max_glu_serum ext,"weight,payer_code,max_glu_serum",30,optuna,0.002819,0.468978,0.446052,0.022926,1.051397,49.0849,2.4511525038326476e-12,0.079176,0.174558,0.10824,100.0,0.102102
DiabetesRecord,weight+payer_code ext,"weight,payer_code",30,optuna,0.002215,0.46538,0.453751,0.011629,1.025629,13.0917,0.00029660525602404406,0.080682,0.198625,0.128005,100.0,0.092311
DiabetesRecord,weight+medical_specialty+max_glu_serum+A1Cresult ext,"weight,medical_specialty,max_glu_serum,A1Cresult",30,optuna,0.001572,0.448872,0.480766,0.031895,0.933659,97.6813,4.9143166252014205e-23,0.068055,0.240021,0.123351,100.0,0.09995
DiabetesRecord,weight+medical_specialty+max_glu_serum ext,"weight,medical_specialty,max_glu_serum",30,optuna,0.002224,0.44689,0.477858,0.030968,0.935194,97.1579,6.401387025538798e-23,0.079241,0.294003,0.131482,100.0,0.110209
DiabetesRecord,weight+medical_specialty+A1Cresult ext,"weight,medical_specialty,A1Cresult",30,optuna,0.004633,0.448627,0.479352,0.030725,0.935902,92.5822,6.458523894712334e-22,0.071297,0.209916,0.111188,100.0,0.102022
DiabetesRecord,weight+medical_specialty ext,"weight,medical_specialty",30,optuna,0.005031,0.446091,0.477189,0.031098,0.934831,98.6603,2.997484553978554e-23,0.081093,0.266673,0.115208,100.0,0.11219
DiabetesRecord,payer_code+max_glu_serum ext,"payer_code,max_glu_serum",30,optuna,0.006244,0.466278,0.451363,0.014914,1.033043,20.9773,4.647561312735006e-06,0.077179,0.167481,0.10482,93.3,0.092094
DiabetesRecord,payer_code ext,payer_code,30,optuna,0.001568,0.462478,0.458441,0.004037,1.008805,1.5795,0.20883602325557704,0.079863,0.192221,0.128801,93.8,0.0839
DiabetesRecord,medical_specialty+max_glu_serum+A1Cresult ext,"medical_specialty,max_glu_serum,A1Cresult",30,optuna,0.000737,0.445758,0.484549,0.038791,0.919944,146.443,1.038718840447977e-33,0.064874,0.234756,0.117268,92.9,0.103666
DiabetesRecord,medical_specialty+max_glu_serum ext,"medical_specialty,max_glu_serum",30,optuna,0.001275,0.443039,0.481242,0.038203,0.920616,148.6361,3.444198365285721e-34,0.07817,0.291639,0.131173,93.3,0.116373
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",30,optuna,-0.002604,0.44539,0.482976,0.037587,0.922177,140.0386,2.610835700847962e-32,0.067996,0.205649,0.106813,93.3,0.105582
DiabetesRecord,medical_specialty ext,medical_specialty,30,optuna,0.002324,0.442036,0.48043,0.038394,0.920085,150.7289,1.2012449748377053e-34,0.080295,0.265228,0.115962,93.8,0.118689
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",30,optuna,-0.002604,0.44539,0.482976,0.037587,0.922177,140.0386,2.610835700847962e-32,0.067996,0.205649,0.106813,93.3,0.105582
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",30,no_pruning,0.000635,0.44539,0.482976,0.037587,0.922177,140.0386,2.610835700847962e-32,0.067996,0.205649,0.106813,93.3,0.105582
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",30,fixed_50,-0.00112,0.44539,0.482976,0.037587,0.922177,140.0386,2.610835700847962e-32,0.067996,0.205649,0.106813,93.3,0.105582
FlightDelay,DAY_OF_MONTH ext,DAY_OF_MONTH,10,optuna,0.009717,0.175175,0.17485,0.000325,1.001859,0.0096,0.9221187270119889,0.006568,0.007568,0.006189,0.0,0.006893
FlightDelay,TAIL_NUM ext,TAIL_NUM,10,optuna,-0.00297,0.175775,0.17245,0.003325,1.019281,1.2017,0.27298316166457437,0.008165,0.013137,0.009994,16.7,0.01149
FlightDelay,OP_CARRIER_FL_NUM ext,OP_CARRIER_FL_NUM,10,optuna,-0.00434,0.174725,0.17665,0.001925,0.989103,0.3972,0.5285155665017408,0.006372,0.009575,0.005289,0.0,0.008297
