dataset,combo_name,ext_features,n_ext_features,ext_null_pct,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,n_no_ext,n_ext,n_rows,label_name,label_0_count,label_1_count,label_1_pct,source,date
CreditRisk,Grp1+Grp2+Grp3+Grp4 ext,"MEAN_AMTCR credit bureau features (groups 1-4)",7,84.3,30,optuna,0.7457,0.7577,0.7465,0.7562,-0.000656,8426,7574,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp1+Grp2+Grp3 ext,"MEAN_AMTCR credit bureau features (groups 1-3)",6,90.6,30,optuna,0.7407,0.7617,0.7408,0.7602,-0.001334,12604,3396,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp1+Grp2+Grp4 ext,"MEAN_AMTCR credit bureau + building features",5,87.0,30,optuna,0.7396,0.7618,0.7395,0.7620,0.000040,9568,6432,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp1+Grp2 ext,"MEAN_AMTCR credit bureau features (groups 1-2)",5,95.0,30,optuna,0.7515,0.7597,0.7513,0.7567,-0.003075,14334,1666,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp1+Grp3+Grp4 ext,"MEAN_AMTCR credit bureau + building features",5,86.0,30,optuna,0.7311,0.7648,0.7312,0.7655,0.000792,8433,7567,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp1+Grp3 ext,"MEAN_AMTCR credit bureau features",4,93.0,30,optuna,0.7338,0.7269,0.7339,0.7265,-0.000267,12614,3386,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp1+Grp4 ext,"MEAN_AMTCR credit bureau + building features",4,83.0,30,optuna,0.7370,0.7532,0.7391,0.7534,0.002277,10415,5585,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp2+Grp4 ext,"MEAN_AMTCR credit bureau + building features",3,82.0,30,optuna,0.7325,0.7705,0.7300,0.7725,-0.000629,8435,7565,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp2 ext,"MEAN_AMTCR credit bureau features (group 2)",2,90.6,30,optuna,0.7368,0.7378,0.7360,0.7384,-0.000148,12617,3383,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp4 ext,"YEARS_BUILD building features",1,66.7,30,optuna,0.7366,0.7636,0.7362,0.7674,0.003411,10671,5329,80000,TARGET,73584,6416,8.0,30t combo sweep,2026-04-05
CreditRisk,Grp1+Grp2 ext,"MEAN_AMTCR credit bureau features (groups 1-2)",5,95.0,30,optuna,0.7514,0.7573,0.7511,0.7569,-0.000699,14334,1666,80000,TARGET,73584,6416,8.0,30t ablation,2026-04-05
CreditRisk,Grp1+Grp2 ext,"MEAN_AMTCR credit bureau features (groups 1-2)",5,95.0,30,no_pruning,0.7514,0.7580,0.7511,0.7569,-0.001390,14334,1666,80000,TARGET,73584,6416,8.0,30t ablation,2026-04-05
CreditRisk,Grp1+Grp2 ext,"MEAN_AMTCR credit bureau features (groups 1-2)",5,95.0,30,fixed_50,0.7514,0.7541,0.7511,0.7569,0.002466,14334,1666,80000,TARGET,73584,6416,8.0,30t ablation,2026-04-05
CreditRisk,Grp1+Grp2 ext,"MEAN_AMTCR_1M_3M_TYPE_EQ_ACTIVE_DIV_MEAN_AMTCR_3M_12M_TYPE_EQ_ACTIVE_x,STD_AMTCR_0M_6M_x,MEAN_AMTCR_0M_6M_TYPE_EQ_CLOSED_x,MEAN_AMTCR_0M_6M_TYPE_EQ_ACTIVE_x,MEDIAN_AMTCR_0M_6M_x",5,95.0,30,optuna,0.7540,0.7563,0.7536,0.7569,-0.000296,14334,1666,80000,TARGET,73584,6416,8.0,30t weighted ablation cluster (fixed),2026-04-10
CreditRisk,Grp1+Grp2 ext,"MEAN_AMTCR_1M_3M_TYPE_EQ_ACTIVE_DIV_MEAN_AMTCR_3M_12M_TYPE_EQ_ACTIVE_x,STD_AMTCR_0M_6M_x,MEAN_AMTCR_0M_6M_TYPE_EQ_CLOSED_x,MEAN_AMTCR_0M_6M_TYPE_EQ_ACTIVE_x,MEDIAN_AMTCR_0M_6M_x",5,95.0,30,no_pruning,0.7540,0.7576,0.7536,0.7569,-0.000438,14334,1666,80000,TARGET,73584,6416,8.0,30t weighted ablation cluster (fixed),2026-04-10
CreditRisk,Grp1+Grp2 ext,"MEAN_AMTCR_1M_3M_TYPE_EQ_ACTIVE_DIV_MEAN_AMTCR_3M_12M_TYPE_EQ_ACTIVE_x,STD_AMTCR_0M_6M_x,MEAN_AMTCR_0M_6M_TYPE_EQ_CLOSED_x,MEAN_AMTCR_0M_6M_TYPE_EQ_ACTIVE_x,MEDIAN_AMTCR_0M_6M_x",5,95.0,30,fixed_50,0.7540,0.7531,0.7536,0.7569,0.000034,14334,1666,80000,TARGET,73584,6416,8.0,30t weighted ablation cluster (fixed),2026-04-10
