dataset,combo_name,ext_features,n_ext_features,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,n_no_ext,n_ext,source,date,notes
DiabetesRecord,weight+payer_code+max_glu_serum ext,"weight,payer_code,max_glu_serum",3,30,optuna,0.6526,0.6841,0.6565,0.6830,0.002819,7189,13165,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,weight+payer_code ext,"weight,payer_code",2,30,optuna,0.6548,0.6831,0.6589,0.6812,0.002215,7875,12479,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,weight+medical_specialty+max_glu_serum+A1Cresult ext,"weight,medical_specialty,max_glu_serum,A1Cresult",4,30,optuna,0.6705,0.6788,0.6718,0.6791,0.001572,7664,12690,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,weight+medical_specialty+max_glu_serum ext,"weight,medical_specialty,max_glu_serum",3,30,optuna,0.6695,0.6723,0.6703,0.6736,0.002224,9195,11159,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,weight+medical_specialty+A1Cresult ext,"weight,medical_specialty,A1Cresult",3,30,optuna,0.6697,0.6705,0.6720,0.6729,0.004633,8117,12237,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,weight+medical_specialty ext,"weight,medical_specialty",2,30,optuna,0.6665,0.6725,0.6706,0.6735,0.005031,9680,10674,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,payer_code+max_glu_serum ext,"payer_code,max_glu_serum",2,30,optuna,0.6611,0.6806,0.6663,0.6816,0.006244,7365,12989,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,payer_code ext,"payer_code",1,30,optuna,0.6706,0.6785,0.6737,0.6769,0.001568,8051,12303,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,medical_specialty+max_glu_serum+A1Cresult ext,"medical_specialty,max_glu_serum,A1Cresult",3,30,optuna,0.6638,0.6741,0.6636,0.6751,0.000737,7935,12419,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,medical_specialty+max_glu_serum ext,"medical_specialty,max_glu_serum",2,30,optuna,0.6732,0.6751,0.6746,0.6750,0.001275,9506,10848,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",2,30,optuna,0.6734,0.6682,0.6727,0.6663,-0.002604,8389,11965,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,medical_specialty ext,"medical_specialty",1,30,optuna,0.6719,0.6677,0.6735,0.6684,0.002324,9990,10364,30t combo sweep (IDs removed),2026-04-05,
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",2,30,optuna,0.6734,0.6682,0.6727,0.6663,-0.002604,8389,11965,30t ablation (IDs removed),2026-04-05,
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",2,30,no_pruning,0.6734,0.6649,0.6727,0.6663,0.000635,8389,11965,30t ablation (IDs removed),2026-04-05,
DiabetesRecord,medical_specialty+A1Cresult ext,"medical_specialty,A1Cresult",2,30,fixed_50,0.6734,0.6667,0.6727,0.6663,-0.001120,8389,11965,30t ablation (IDs removed),2026-04-05,
