dataset,combo_name,ext_features,n_ext_features,ext_null_pct,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,n_no_ext,n_ext,n_rows,label_name,label_0_count,label_1_count,label_1_pct,source,date
MovieAugV2,rating_count+rating_mean ext,"rating_count,rating_mean",2,50.0,10,optuna,0.8845,0.9066,0.8812,0.9138,0.003951,5617,16877,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_count+rating_std ext,"rating_count,rating_std",2,50.0,10,optuna,0.8789,0.886,0.8754,0.8899,0.000317,5592,16902,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_count+days_active ext,"rating_count,days_active",2,50.0,10,optuna,0.8623,0.9086,0.8604,0.9154,0.004928,5594,16900,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_count+rating_frequency ext,"rating_count,rating_frequency",2,50.0,10,optuna,0.8431,0.8986,0.8389,0.8999,-0.002898,5617,16877,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_count+tags ext,"rating_count,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",6,88.5,10,optuna,0.8153,0.9169,0.8149,0.9196,0.002303,10816,11678,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_count ext,rating_count,1,50.0,10,optuna,0.8807,0.9123,0.8791,0.91,-0.003813,11247,11247,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_mean+rating_std ext,"rating_mean,rating_std",2,50.0,10,optuna,0.9209,0.8739,0.9199,0.8709,-0.004046,5616,16878,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_mean+days_active ext,"rating_mean,days_active",2,50.0,10,optuna,0.8948,0.9023,0.8965,0.9027,0.001982,5630,16864,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_mean+rating_frequency ext,"rating_mean,rating_frequency",2,50.0,10,optuna,0.8717,0.8922,0.8729,0.8976,0.006616,5644,16850,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
MovieAugV2,rating_mean+tags ext,"rating_mean,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",6,88.5,10,optuna,0.8393,0.9088,0.8375,0.9112,0.000544,10830,11664,112466,TARGET,110339,2127,1.9,summary.txt (10t full sweep),2026-03-15
