dataset,combo_name,ext_features,n_ext_features,ext_null_pct,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,n_no_ext,n_ext,n_rows,label_name,label_0_count,label_1_count,label_1_pct,source,date
WIDS,h1_bilirub+h1_lactate+h1_pao2fio+h1_arteria+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",24,85.7,10,optuna,0.902,0.9134,0.9015,0.9143,0.000373,12685,5658,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_lactate+h1_pao2fio+h1_arteria,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min",14,87.7,10,optuna,0.9006,0.8955,0.8992,0.8923,-0.00454,13632,4711,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_lactate+h1_pao2fio+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",18,86.6,10,optuna,0.8974,0.9121,0.8964,0.9122,-0.000944,12997,5346,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_lactate+h1_pao2fio,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min",8,91.0,10,optuna,0.9022,0.8966,0.903,0.8979,0.002127,14206,4137,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_lactate+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",16,86.5,10,optuna,0.907,0.907,0.9058,0.9064,-0.001778,13914,4429,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_lactate,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min",6,92.2,10,optuna,0.9,0.8954,0.9,0.8967,0.001259,15816,2527,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_pao2fio+h1_arteria+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",22,85.2,10,optuna,0.9002,0.905,0.8995,0.9064,0.000685,13011,5332,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_pao2fio+h1_arteria,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min",12,87.0,10,optuna,0.9017,0.902,0.8983,0.9064,0.000977,14124,4219,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_pao2fio+h1_hco3,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_hco3_max,h1_hco3_min,h1_calcium_max,h1_calcium_min,h1_creatinine_max,h1_creatinine_min,h1_sodium_max,h1_sodium_min,h1_wbc_max,h1_wbc_min",16,85.9,10,optuna,0.9018,0.9093,0.9032,0.9118,0.003879,13387,4956,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
WIDS,h1_bilirub+h1_pao2fio,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min",6,90.7,10,optuna,0.897,0.9006,0.8974,0.9023,0.002121,14832,3511,91713,hospital_death,83798,7915,8.6,wids_results.txt (10t full sweep),2026-03-16
