dataset,combo_name,ext_features,n_ext_features,ext_null_pct,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,n_no_ext,n_ext,n_rows,label_name,label_0_count,label_1_count,label_1_pct,source,date
Weather,Evapor+Sunshi+WindGustDir+WindGustSpeed+Pressu ext,"Evaporation,Sunshine,WindGustDir,WindGustSpeed,Pressure9am",5,36.5,10,optuna,0.7658,0.8669,0.769,0.8684,0.004706,641,4359,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+Sunshi+WindGustDir+WindGustSpeed ext,"Evaporation,Sunshine,WindGustDir,WindGustSpeed",4,40.8,10,optuna,0.7774,0.8485,0.7752,0.8496,-0.001047,657,4343,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+Sunshi+WindDir9am ext,"Evaporation,Sunshine,WindDir9am",3,49.3,10,optuna,0.8432,0.8448,0.8314,0.8469,-0.009676,578,4422,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+Sunshi+Pressu ext,"Evaporation,Sunshine,Pressure9am",3,51.6,10,optuna,0.8035,0.8686,0.8083,0.8699,0.006128,957,4043,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+Sunshi+Cloud9 ext,"Evaporation,Sunshine,Cloud9am",3,59.7,10,optuna,0.8484,0.8487,0.8459,0.8538,0.002577,2128,2872,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+Sunshi ext,"Evaporation,Sunshine",2,67.8,10,optuna,0.8424,0.8695,0.8419,0.8724,0.002486,3095,1905,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+WindGustDir+WindGustSpeed ext,"Evaporation,WindGustDir,WindGustSpeed",3,30.0,10,optuna,0.7599,0.8603,0.7568,0.8614,-0.002004,658,4342,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+WindDir9am ext,"Evaporation,WindDir9am",2,37.3,10,optuna,0.802,0.8377,0.7979,0.8386,-0.003243,580,4420,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+Pressu ext,"Evaporation,Pressure9am",2,40.8,10,optuna,0.7975,0.871,0.7962,0.8717,-0.00055,958,4042,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor+Cloud9 ext,"Evaporation,Cloud9am",2,52.9,10,optuna,0.8517,0.8478,0.8544,0.849,0.003868,2130,2870,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Evapor ext,Evaporation,1,62.3,10,optuna,0.8419,0.8724,0.8423,0.8729,0.000901,3114,1886,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Sunshi+WindGustDir+WindGustSpeed+Pressu ext,"Sunshine,WindGustDir,WindGustSpeed,Pressure9am",4,30.1,10,optuna,0.7739,0.8653,0.7687,0.8668,-0.003719,643,4357,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Sunshi+WindGustDir+WindGustSpeed ext,"Sunshine,WindGustDir,WindGustSpeed",3,33.7,10,optuna,0.7528,0.8644,0.753,0.8647,0.000497,670,4330,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Sunshi+WindDir9am ext,"Sunshine,WindDir9am",2,42.8,10,optuna,0.8232,0.8477,0.8254,0.8516,0.006081,589,4411,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
Weather,Sunshi+Pressu ext,"Sunshine,Pressure9am",2,46.3,10,optuna,0.7752,0.8649,0.7718,0.8655,-0.002746,963,4037,25000,RainTomorrow,19405,5595,22.4,summary.txt (10t full sweep),2026-03-14
