dataset,combo_name,ext_features,n_ext_features,ext_null_pct,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,n_no_ext,n_ext,n_rows,label_name,label_0_count,label_1_count,label_1_pct,source,date,leakage
WeatherAUS,Evapor+Sunshi+Cloud9+Cloud3 ext,"Evaporation,Sunshine,Cloud9am,Cloud3pm",4,42.1,10,optuna,0.8891,0.897,0.8933,0.9001,0.00728,7889,20550,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor+Sunshi+Cloud9 ext,"Evaporation,Sunshine,Cloud9am",3,42.7,10,optuna,0.8851,0.9002,0.8879,0.9029,0.005457,8498,19941,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor+Sunshi+Cloud3 ext,"Evaporation,Sunshine,Cloud3pm",3,43.5,10,optuna,0.8759,0.8995,0.8796,0.9036,0.007822,8645,19794,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor+Sunshi ext,"Evaporation,Sunshine",2,45.2,10,optuna,0.8778,0.9047,0.879,0.909,0.005392,11377,17062,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor+Cloud9+Cloud3 ext,"Evaporation,Cloud9am,Cloud3pm",3,40.2,10,optuna,0.8892,0.9033,0.8905,0.9055,0.00357,8157,20282,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor+Cloud9 ext,"Evaporation,Cloud9am",2,40.3,10,optuna,0.8867,0.9019,0.8855,0.9037,0.00056,8815,19624,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor+Cloud3 ext,"Evaporation,Cloud3pm",2,41.5,10,optuna,0.8901,0.8988,0.8892,0.9011,0.001453,8976,19463,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor ext,Evaporation,1,42.8,10,optuna,0.8889,0.902,0.8886,0.9038,0.001572,12169,16270,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Sunshi+Cloud9+Cloud3 ext,"Sunshine,Cloud9am,Cloud3pm",3,41.9,10,optuna,0.8903,0.8969,0.8941,0.8992,0.006093,8451,19988,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Sunshi+Cloud9 ext,"Sunshine,Cloud9am",2,42.7,10,optuna,0.8847,0.9018,0.8842,0.9051,0.002867,9152,19287,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Sunshi+Cloud3 ext,"Sunshine,Cloud3pm",2,43.9,10,optuna,0.8784,0.8998,0.8793,0.9041,0.005161,9522,18917,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Sunshi ext,Sunshine,1,47.7,10,optuna,0.881,0.9014,0.8819,0.905,0.004474,13563,14876,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Cloud9+Cloud3 ext,"Cloud9am,Cloud3pm",2,38.9,10,optuna,0.8877,0.9043,0.8887,0.9041,0.000763,9936,18503,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Cloud9 ext,Cloud9am,1,37.7,10,optuna,0.8806,0.8982,0.8812,0.8992,0.001659,10732,17707,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Cloud3 ext,Cloud3pm,1,40.1,10,optuna,0.8903,0.9027,0.8906,0.9032,0.00071,11419,17020,142193,RainTomorrow,110316,31877,22.4,summary.txt (10t full sweep),2026-03-16,True
WeatherAUS,Evapor+Cloud9 ext,"Evaporation,Cloud9am",2,40.3,30,optuna,0.8863,0.9017,0.8882,0.9038,0.00408,8815,19624,142193,RainTomorrow,110316,31877,22.4,upbeat-chandrasekhar (30t ablation),2026-03-25,True
WeatherAUS,Evapor+Cloud9 ext,"Evaporation,Cloud9am",2,40.3,30,no_pruning,0.8863,0.9016,0.8882,0.9038,0.004219,8815,19624,142193,RainTomorrow,110316,31877,22.4,upbeat-chandrasekhar (30t ablation),2026-03-25,True
WeatherAUS,Evapor+Cloud9 ext,"Evaporation,Cloud9am",2,40.3,30,fixed_50,0.8863,0.9009,0.8882,0.9038,0.004856,8815,19624,142193,RainTomorrow,110316,31877,22.4,upbeat-chandrasekhar (30t ablation),2026-03-25,True
WeatherAUS,Sunshi ext,Sunshine,1,47.7,30,optuna,0.8825,0.8991,0.8831,0.9039,0.005431,13563,14876,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t sweep),2026-04-03,False
WeatherAUS,Evapor ext,Evaporation,1,42.8,30,optuna,0.8889,0.9027,0.8891,0.9036,0.001082,12169,16270,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t sweep),2026-04-03,False
WeatherAUS,Cloud3 ext,Cloud3pm,1,40.1,30,optuna,0.8923,0.9016,0.8906,0.9021,-0.001144,11419,17020,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t sweep),2026-04-03,False
WeatherAUS,Sunshi+Evapor ext,"Sunshine,Evaporation",2,45.2,30,optuna,0.8792,0.903,0.8804,0.9074,0.005685,11377,17062,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t sweep),2026-04-03,False
WeatherAUS,Sunshi+Cloud3 ext,"Sunshine,Cloud3pm",2,43.9,30,optuna,0.8813,0.899,0.8784,0.9037,0.001756,9522,18917,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t sweep),2026-04-03,False
WeatherAUS,Evapor+Cloud3 ext,"Evaporation,Cloud3pm",2,41.5,30,optuna,0.8923,0.8989,0.8915,0.9007,0.000974,8976,19463,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t sweep),2026-04-03,False
WeatherAUS,Sunshi+Evapor+Cloud3 ext,"Sunshine,Evaporation,Cloud3pm",3,43.5,30,optuna,0.8794,0.8954,0.8804,0.9028,0.008399,8645,19794,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t sweep),2026-04-03,False
WeatherAUS,Cloud3 ext,Cloud3pm,1,40.1,15,no_pruning,0.8923,0.9479,0.8906,0.9021,-0.047474,11419,17020,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t ablation),2026-04-03,False
WeatherAUS,Cloud3 ext,Cloud3pm,1,40.1,15,fixed_50,0.8923,0.9299,0.8906,0.9021,-0.02952,11419,17020,142193,RainTomorrow,110316,31877,22.4,frosty-pasteur (30t ablation),2026-04-03,False
