combo,seed,objective,base_auc,ext_auc,comb_no_auc,comb_ext_auc,n_no,n_ext,weighted_imp
c1_A1Conly,42,-6.8e-05,0.6717,0.6695,0.672,0.6679,16951,3403,1.766237594568419e-05
c1_A1Conly,43,-3.8e-05,0.6782,0.6632,0.6777,0.6655,16951,3403,3.186597229051072e-05
c1_A1Conly,44,0.000767,0.6769,0.6715,0.6776,0.6727,16951,3403,-0.0007835953620910142
c1_A1Conly,45,-0.00254,0.6755,0.6734,0.6733,0.6691,16951,3403,0.002551100520782134
c1_A1Conly,46,-0.000382,0.679,0.6612,0.6784,0.6617,16951,3403,0.0004160902033998698
c2_MSonly,42,-0.00018,0.6708,0.6633,0.6707,0.6631,9990,10364,0.00015091873833151525
c2_MSonly,43,0.000223,0.6739,0.682,0.6738,0.6825,9990,10364,-0.0002055124299891142
c2_MSonly,44,0.002487,0.6628,0.6701,0.6652,0.6727,9990,10364,-0.002501837476663065
c2_MSonly,45,0.002927,0.665,0.6756,0.6687,0.6778,9990,10364,-0.0029362189250269747
c2_MSonly,46,0.001711,0.6742,0.6738,0.6762,0.6752,9990,10364,-0.001694487570010844
c3_Glu,42,-0.004056,0.671,0.6972,0.6667,0.6968,19284,1070,0.004094978873931495
c3_Glu,43,-0.000121,0.6749,0.6811,0.6748,0.6817,19284,1070,6.320133634676227e-05
c3_Glu,44,-0.003582,0.6731,0.6752,0.6692,0.6773,19284,1070,0.0035845828829714206
c3_Glu,45,-0.00271,0.6749,0.7003,0.6725,0.692,19284,1070,0.002710160165078187
c3_Glu,46,-0.001805,0.6713,0.6987,0.6698,0.6928,19284,1070,0.0017313058858210236
c4_Payer,42,0.003252,0.6714,0.6721,0.6719,0.6771,8051,12303,-0.0032200304608431024
c4_Payer,43,0.001757,0.6653,0.6758,0.6684,0.6766,8051,12303,-0.0017097622089024375
c4_Payer,44,0.002486,0.6531,0.6662,0.6566,0.6681,8051,12303,-0.002532878058366893
c4_Payer,45,0.001549,0.666,0.6806,0.6693,0.681,8051,12303,-0.0015470914807900452
c4_Payer,46,0.001022,0.657,0.6848,0.6622,0.6831,8051,12303,-0.0010292866267073203
c5_MSplusA1C,42,0.001666,0.6733,0.6648,0.673,0.6678,8389,11965,-0.0016398889653139583
c5_MSplusA1C,43,0.005185,0.6801,0.666,0.6838,0.6722,8389,11965,-0.005169612852510522
c5_MSplusA1C,44,0.001754,0.6743,0.6714,0.6753,0.6737,8389,11965,-0.0017641986833054747
c5_MSplusA1C,45,0.000376,0.6694,0.6742,0.6715,0.6734,8389,11965,-0.0003952490910877296
c5_MSplusA1C,46,0.000109,0.6762,0.6687,0.6754,0.6694,8389,11965,-8.176771150634828e-05
c6_A1CplusGlu,42,-0.001016,0.6774,0.6667,0.6754,0.6692,15940,4414,0.0010241230225017084
c6_A1CplusGlu,43,-0.001572,0.6676,0.6738,0.6658,0.6728,15940,4414,0.0016265107595558803
c6_A1CplusGlu,44,-0.001137,0.6713,0.678,0.6708,0.6746,15940,4414,0.0011288984966100618
c6_A1CplusGlu,45,-0.001745,0.6743,0.677,0.6716,0.6787,15940,4414,0.0017458091775572815
c6_A1CplusGlu,46,-0.001648,0.6751,0.6783,0.6726,0.6798,15940,4414,0.001632553797779363
