seed,dataset,mode,objective,base_auc,ext_auc,comb_no_auc,comb_ext_auc,n_no,n_ext
42,BankLoanSta,optuna,-0.023584,0.6854,0.7618,0.6585,0.7438,12535,7465
42,BankLoanSta,no_pruning,-0.008936,0.6854,0.7226,0.6585,0.7438,12535,7465
42,BankLoanSta,fixed_50,-0.014769,0.6854,0.7382,0.6585,0.7438,12535,7465
42,Weather,optuna,-0.000223,0.8437,0.8737,0.8445,0.8717,3114,1886
42,Weather,no_pruning,-0.000197,0.8437,0.8737,0.8445,0.8717,3114,1886
42,Weather,fixed_50,0.001196,0.8437,0.87,0.8445,0.8717,3114,1886
42,DiabetesRecord,optuna,0.001666,0.6733,0.6648,0.673,0.6678,8389,11965
42,DiabetesRecord,no_pruning,0.001883,0.6733,0.6644,0.673,0.6678,8389,11965
42,DiabetesRecord,fixed_50,0.005075,0.6733,0.659,0.673,0.6678,8389,11965
42,CreditRisk,optuna,-0.000104,0.754,0.7544,0.7536,0.7569,14334,1666
42,CreditRisk,no_pruning,-0.000438,0.754,0.7576,0.7536,0.7569,14334,1666
42,CreditRisk,fixed_50,3.4e-05,0.754,0.7531,0.7536,0.7569,14334,1666
42,HRAnalytics,optuna,-0.00478,0.7408,0.7985,0.738,0.7929,1188,2644
42,HRAnalytics,no_pruning,-0.004753,0.7408,0.7985,0.738,0.7929,1188,2644
42,HRAnalytics,fixed_50,-0.003985,0.7408,0.7974,0.738,0.7929,1188,2644
42,ClientRecordV2,optuna,-0.003306,0.8638,0.9588,0.8617,0.9535,861,548
42,ClientRecordV2,no_pruning,-0.002147,0.8638,0.9558,0.8617,0.9535,861,548
42,ClientRecordV2,fixed_50,-0.003005,0.8638,0.958,0.8617,0.9535,861,548
42,WeatherAUS,optuna,-0.000727,0.8871,0.9033,0.8859,0.9027,8815,19624
42,WeatherAUS,no_pruning,-0.00055,0.8871,0.903,0.8859,0.9027,8815,19624
42,WeatherAUS,fixed_50,0.000969,0.8871,0.9008,0.8859,0.9027,8815,19624
42,WIDS,optuna,-0.000719,0.8912,0.8764,0.8904,0.8759,10668,7675
42,WIDS,no_pruning,-0.001002,0.8912,0.8771,0.8904,0.8759,10668,7675
42,WIDS,fixed_50,-0.000818,0.8912,0.8766,0.8904,0.8759,10668,7675
42,FlightDelay,optuna,-0.006475,0.6933,0.7004,0.6979,0.6933,1000,19000
42,FlightDelay,no_pruning,-0.006611,0.6933,0.7005,0.6979,0.6933,1000,19000
42,FlightDelay,fixed_50,-0.003362,0.6933,0.6971,0.6979,0.6933,1000,19000
43,BankLoanSta,optuna,-0.010757,0.6724,0.7718,0.6615,0.7614,12534,7466
43,BankLoanSta,no_pruning,-0.003726,0.6724,0.753,0.6615,0.7614,12534,7466
43,BankLoanSta,fixed_50,-0.006106,0.6724,0.7594,0.6615,0.7614,12534,7466
43,Weather,optuna,-0.00027,0.8503,0.8717,0.8503,0.8709,3114,1886
43,Weather,no_pruning,-0.000416,0.8503,0.8721,0.8503,0.8709,3114,1886
43,Weather,fixed_50,0.002393,0.8503,0.8646,0.8503,0.8709,3114,1886
43,DiabetesRecord,optuna,0.005185,0.6801,0.666,0.6838,0.6722,8389,11965
43,DiabetesRecord,no_pruning,0.005212,0.6801,0.6659,0.6838,0.6722,8389,11965
43,DiabetesRecord,fixed_50,0.004602,0.6801,0.667,0.6838,0.6722,8389,11965
43,CreditRisk,optuna,0.000296,0.748,0.7451,0.7487,0.7418,14334,1666
43,CreditRisk,no_pruning,0.000557,0.748,0.7426,0.7487,0.7418,14334,1666
43,CreditRisk,fixed_50,0.000789,0.748,0.7404,0.7487,0.7418,14334,1666
43,HRAnalytics,optuna,-0.001013,0.7528,0.7641,0.758,0.7602,1188,2644
43,HRAnalytics,no_pruning,0.000746,0.7528,0.7615,0.758,0.7602,1188,2644
43,HRAnalytics,fixed_50,0.001692,0.7528,0.7601,0.758,0.7602,1188,2644
43,ClientRecordV2,optuna,0.002424,0.872,0.9409,0.8715,0.948,861,548
