combo,seed,objective,base_auc,ext_auc,comb_no_auc,comb_ext_auc,n_no,n_ext,weighted_imp
c1_Sunshine,42,0.002058,0.8821,0.9016,0.8838,0.9041,13563,14876,-0.002118467597313595
c1_Sunshine,43,0.002682,0.8868,0.8995,0.8873,0.9042,13563,14876,-0.002696954885896122
c1_Sunshine,44,0.0011,0.8842,0.9,0.8843,0.902,13563,14876,-0.001093860543619673
c1_Sunshine,45,0.000236,0.8823,0.9039,0.8827,0.904,13563,14876,-0.00024307465100744557
c1_Sunshine,46,0.001068,0.8885,0.9051,0.8888,0.9069,13563,14876,-0.0010846267449629526
c2_Evap,42,0.000714,0.8897,0.9022,0.8902,0.9031,12169,16270,-0.0007288406765357264
c2_Evap,43,-0.000564,0.8867,0.9009,0.8864,0.9001,12169,16270,0.0005860508456697254
c2_Evap,44,0.000166,0.8888,0.9015,0.8885,0.902,12169,16270,-0.000157681353071485
c2_Evap,45,0.000798,0.8845,0.8999,0.8847,0.9012,12169,16270,-0.0008293118604733134
c2_Evap,46,0.00042,0.8826,0.9047,0.883,0.9052,12169,16270,-0.0004572101691339489
c3_Cloud3,42,-0.00016,0.8916,0.9031,0.8915,0.903,11419,17020,9.9999999999989e-05
c3_Cloud3,43,0.000487,0.8946,0.8981,0.8953,0.8984,11419,17020,-0.0004606104293399847
c3_Cloud3,44,6.6e-05,0.8856,0.9001,0.8857,0.9001,11419,17020,-4.015260733499329e-05
c3_Cloud3,45,0.001958,0.889,0.8998,0.8896,0.9028,11419,17020,-0.00203633742396003
c3_Cloud3,46,0.000745,0.8784,0.8958,0.8789,0.8967,11419,17020,-0.0007393895706600388
c4_Cloud9,42,-0.000294,0.8816,0.8992,0.8812,0.899,10732,17707,0.0002754738211610932
c4_Cloud9,43,-0.000371,0.8922,0.9012,0.8914,0.9011,10732,17707,0.00036415837406378744
c4_Cloud9,44,0.000474,0.8922,0.8996,0.8926,0.9001,10732,17707,-0.00046226308941947744
c4_Cloud9,45,0.000691,0.8879,0.9016,0.8878,0.9027,10732,17707,-0.0006471570730335082
c4_Cloud9,46,0.000602,0.8879,0.9016,0.8888,0.902,10732,17707,-0.0005886845529027502
c5_EvapCloud9,42,-0.000727,0.8871,0.9033,0.8859,0.9027,8815,19624,0.0007859770034108335
c5_EvapCloud9,43,0.001304,0.8809,0.8982,0.8809,0.9002,8815,19624,-0.001380076655297304
c5_EvapCloud9,44,0.000914,0.8842,0.898,0.8843,0.8992,8815,19624,-0.0008590421604134986
c5_EvapCloud9,45,0.000513,0.8867,0.9024,0.8867,0.9032,8815,19624,-0.000552030662118937
c5_EvapCloud9,46,0.000656,0.8848,0.9004,0.8856,0.901,8815,19624,-0.0006619923344703078
c6_SunshineEvap,42,0.00124,0.8801,0.9049,0.8793,0.9075,11377,17062,-0.0012398326242131805
c6_SunshineEvap,43,0.001129,0.8835,0.9075,0.8838,0.9091,11377,17062,-0.0010799360033757048
c6_SunshineEvap,44,0.002573,0.8829,0.9011,0.8837,0.9048,11377,17062,-0.002539857238299549
c6_SunshineEvap,45,0.001239,0.8807,0.9019,0.881,0.9037,11377,17062,-0.0011999261577410646
c6_SunshineEvap,46,0.00241,0.8817,0.9013,0.8837,0.904,11377,17062,-0.0024199655402792164
