dataset,combo_name,ext_features,n_ext_features,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,weighted_improvement,n_no_ext,n_ext,n_rows,label_name,label_1_pct,source,date
BankLoanSta,Credit ext,Credit Score,1,30,optuna,0.6854,0.7290,0.6585,0.7438,-0.011328,0.011328,12535,7465,100000,Loan Status,77.4,30t structured ablation cluster (job 16978930),2026-04-13
Weather,Evapor ext,Evaporation,1,30,optuna,0.8494,0.8766,0.8465,0.8743,-0.002661,0.002674,3114,1886,25000,RainTomorrow,22.4,30t weighted sweep,2026-04-07
DiabetesRecord,A1Cresult+max_glu_serum ext,"A1Cresult,max_glu_serum",2,30,optuna,0.6774,0.6667,0.6754,0.6692,-0.001016,0.001024,15940,4414,101766,readmitted,46.1,30t pre-registered combo screen (job 17175239 seed42),2026-04-25
CreditRisk,Grp1+Grp2 ext,MEAN_AMTCR credit bureau features (groups 1-2),5,50,optuna,0.7544,0.7548,0.7536,0.7569,-0.000469,0.000469,14334,1666,80000,TARGET,8.0,50t base+ext 30t combined ablation cluster (job 16991297),2026-04-14
HRAnalytics,company_size ext,company_size,1,30,optuna,0.7408,0.7990,0.7380,0.7929,-0.005121,0.005121,1188,2644,19158,target,24.9,30t weighted ablation cluster (job 16979053),2026-04-14
ClientRecordV2,Tenure ext,Tenure in Months,1,30,optuna,0.8638,0.9581,0.8617,0.9535,-0.003035,0.003072,861,548,7043,Customer Status,67.0,30t structured sweep cluster,2026-04-11
MovieAugV2,rating_mean+tags ext,"rating_mean,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",6,30,optuna,0.8379,0.91,0.8338,0.9084,-0.002795,0.002804,10830,11664,112466,TARGET,1.9,30t weighted cluster,2026-04-07
WeatherAUS,Evapor+Cloud9 ext,"Evaporation,Cloud9am",2,100,optuna,0.8875,0.9032,0.8859,0.9027,-0.000794,0.000794,8815,19624,142193,RainTomorrow,22.4,100t base+ext 30t combined ablation cluster (job 16989553),2026-04-14
WIDS,h1_bilirub+h1_lactate+h1_pao2fio+h1_arteria,"h1_bilirubin_max,h1_bilirubin_min,h1_albumin_max,h1_albumin_min,h1_lactate_max,h1_lactate_min,h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,h1_arterial_ph_max,h1_arterial_ph_min,h1_arterial_pco2_max,h1_arterial_pco2_min,h1_arterial_po2_max,h1_arterial_po2_min",14,10,optuna,0.9006,0.8955,0.8992,0.8923,-0.00454,0.001862,13632,4711,91713,hospital_death,8.6,wids_results.txt (10t full sweep),2026-03-16
FlightDelay,OP_CARRIER_FL_NUM ext,OP_CARRIER_FL_NUM,1,30,optuna,0.7491,0.7194,0.7429,0.717,-0.003518,0.003542,6011,13989,100000,DEP_DEL15,17.3,30t structured sweep+ablation cluster,2026-04-11
